Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=P/N~String~P/N~100|Field=Supplier Part Number~String~Supplier Part Number~100|Field=Library Name~String~Library Name~100|Field=Library Reference~String~Library Reference~100|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer 2~String~Manufacturer 2~100|Field=Manufacturer 3~String~Manufacturer 3~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Manufacturer Part Number 2~String~Manufacturer Part Number 2~100|Field=Manufacturer Part Number 3~String~Manufacturer Part Number 3~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier 2~String~Supplier 2~100|Field=Supplier 3~String~Supplier 3~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Currency 2~String~Supplier Currency 2~100|Field=Supplier Currency 3~String~Supplier Currency 3~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Order Qty 2~Integer~Supplier Order Qty 2~100|Field=Supplier Order Qty 3~Integer~Supplier Order Qty 3~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Part Number 2~String~Supplier Part Number 2~100|Field=Supplier Part Number 3~String~Supplier Part Number 3~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Stock 2~Integer~Supplier Stock 2~100|Field=Supplier Stock 3~Integer~Supplier Stock 3~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Subtotal 2~Float~Supplier Subtotal 2~100|Field=Supplier Subtotal 3~Float~Supplier Subtotal 3~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Supplier Unit Price 2~Float~Supplier Unit Price 2~100|Field=Supplier Unit Price 3~Float~Supplier Unit Price 3~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Cape.PrjPcb|ReportField=ProjectFullPath~C:\Users\user\Documents\RocketLogger\rocketlogger\hardware\pcb\Cape\Cape.PrjPcb|ReportField=Title~Bill of Materials For Project [Cape.PrjPcb] (PCB Document : PCB.PcbDoc)|ReportField=TotalQuantity~371|ReportField=ReportTime~17:03:20|ReportField=ReportDate~08.05.2017|ReportField=ReportDateTime~08.05.2017 17:03:20|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=ProjectName~RocketLogger|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~08.05.2017|ReportField=CurrentTime~16:51:11|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\user\Documents\RocketLogger\rocketlogger\hardware\pcb\Cape\top.SchDoc|ReportField=DocumentName~top.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Stefan Lippuner|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~18.04.2017|ReportField=Organization~TIK|ReportField=Revision~2|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~8|ReportField=Time~|ReportField=Title~Top|ReportField=VersionControl_RevNumber~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A3:PaperIndex=8|ReportField=DataSourceFileName~Cape.PrjPcb|ReportField=DataSourceFullPath~C:\Users\user\Documents\RocketLogger\rocketlogger\hardware\pcb\Cape\Cape.PrjPcb|ReportField=PCBDataSourceFileName~PCB.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\user\Documents\RocketLogger\rocketlogger\hardware\pcb\Cape\PCB.PcbDoc
1|TSW-123-07-L-D (BOM)|Conn Unshrouded Header HDR 46 POS 2.54mm Solder ST Thru-Hole|P8, P9||TSW-123-07-L-D (BOM)|2||||TSW-123-07-L-D.SchLib|TSW-123-07-L-D (BOM)||Samtec Inc.|||TSW-123-07-L-D|||Digi-Key|||USD|||2|||SAM1030-23-ND|||0|||7.88|||3.94||
2|TSW-107-07-L-S|Conn Unshrouded Header HDR 7 POS 2.54mm Solder ST Thru-Hole|J1|TSW-107-07-L-S|TSW-107-07-L-S|1||||TSW-107-07-L-S.SchLib|TSW-107-07-L-S||Samtec Inc.|||TSW-107-07-L-S|||Digi-Key|||USD|||1|||SAM1031-07-ND|||1661|||1.01|||1.01||
3|10K, 25ppm/°C|10K, 25ppm/°C 0402 (1005 Metric) Chip Resistor|R305_1, R305_2, R306_1, R306_2, R504_1, R504_2, R505_1, R505_2|RESC0402(1005)_L|CMP-1591-00004-1|8||||Altium Content Vault|CMP-1591-00004-1||Susumu|||RR0510P-103-D|||Digi-Key|||USD|||8|||RR05P10.0KDDKR-ND|||341619|||0.8|||0.10||
4|133R, 25ppm/°C|133R, 25ppm/°C, 0402 (1005 Metric) Chip Resistor|R301_1, R301_2|RESC0402(1005)_L|CMP-1591-00004-1|2||||Altium Content Vault|CMP-1591-00004-1||TE Connectivity Passive Product|||CPF0402B133RE1|||Digi-Key|||USD|||2|||A102612DKR-ND|||1403|||1.2|||0.60||
5|3K9, 25ppm/°C|3K9, 25ppm/°C, 0402 (1005 Metric) Chip Resistor|R506_1, R506_2, R507_1, R507_2|RESC0402(1005)_L|CMP-1591-00004-1|4||||Altium Content Vault|CMP-1591-00004-1||Susumu|||RR0510P-392-D|||Digi-Key|||USD|||4|||RR05P3.9KDCT-ND|||26271|||0.4|||0.10||
6|680R, 25ppm/°C|680R, 25ppm/°C 0402 (1005 Metric) Chip Resistor|R302_1, R302_2|RESC0402(1005)_L|CMP-1591-00004-1|2||||Altium Content Vault|CMP-1591-00004-1||Susumu|||RR0510P-681-D|||Digi-Key|||USD|||2|||RR05P680DCT-ND|||26018|||0.2|||0.10||
7|33nF|CAP 33nF 16V ±5%, 0402 (1005 Metric) Chip Capacitor|C312_1, C312_2|CAPC0402(1005)60_L|CMP-1590-00004-1|2||||Altium Content Vault|CMP-1590-00004-1||KEMET|||C0402C333J4RACTU|||Digi-Key|||USD|||2|||399-8964-6-ND|||46366|||0.94|||0.47||
8|100uF|CAP 100uF 10V ±20% 1210 (3225 Metric) SMD|C435, C436|CAPC1210(3225)200_L|CMP-1590-00002-1|2||||Altium Content Vault|CMP-1590-00002-1||Murata Electronics North America|||GRM32ER61A107ME20L|||Digi-Key|||USD|||2|||490-9969-6-ND|||179620|||2.06|||1.03||
9|Blue, 2.6V @ 2mA|SMD mono-color Chip LED, WL-SMCW, Blue|LED200, LED201|0603_A|CMP-1426-00003-1|2||||Altium Content Vault|CMP-1426-00003-1|Wuerth Elektronik|Wuerth Elektronik|Wuerth Elektronik|Wuerth Elektronik|150060BS75000|150060BS75000|150060BS75000|Newark|Mouser|Farnell||||2|2|2|95W3793|710-150060BS75000|2322069|4757|6658|2394|0.48|0.78|0.2|0.24|0.39|0.10
10|Red, 1.6V @ 2mA|SMD mono-color Chip LED, WL-SMCW, Red|LED202|0603_A|CMP-1426-00001-1|1||||Altium Content Vault|CMP-1426-00001-1|Wuerth Elektronik|Wuerth Elektronik|Wuerth Elektronik|Wuerth Elektronik|150060RS75000|150060RS75000|150060RS75000|Newark|Mouser|Farnell||||1|1|1|95W3795|710-150060RS75000|2322071|6750|7321|8215|0.22|0.36|0.1|0.22|0.36|0.10
11|BSS214NW|N-Channel OptiMOS 2 Small-Signal-Transistor, 20 V VDS, 1.5 A ID, -55 to 150 degC, PG-SOT-323, Reel, Green|Q301_1, Q301_2|INF-PG-SOT-323_L|CMP-1149-00041-1|2||||Altium Content Vault|CMP-1149-00041-1|Infineon|INFINEON|||BSS214NW|||||||||2||||||0|||0|||0.00||
